id,category,scripture_relevance,audience_level,novice_load_level,meaning_length,has_phonetic
1,天文类,low,,,10,1
2,天文类,low,,,87,1
3,天文类,low,,,49,1
4,天文类,low,,,11,1
5,天文,low,,,4,1
6,天文,low,,,5,1
7,天文,low,,,7,1
8,天文,low,,,7,1
9,天文,low,,,7,1
10,天文,low,,,7,1
11,天文,low,,,4,1
12,天文,low,,,5,1
13,天文,low,,,5,1
14,天文,low,,,6,1
1,天文,low,,,7,1
2,天文,low,,,19,1
3,天文,low,,,10,1
4,天文,low,,,21,1
5,天文,low,,,10,1
6,天文,low,,,6,1
7,天文,low,,,81,1
8,天文,low,,,6,1
18,天文,low,,,40,1
19,天文,low,,,46,1
20,天文,low,,,52,1
21,天文,low,,,32,1
22,天文,low,,,81,1
23,天文,low,,,8,1
24,天文,low,,,89,1
25,天文,low,,,13,1
26,天文,low,,,40,1
27,天文,low,,,58,1
28,天文,low,,,40,1
1,天文,low,,,35,1
2,天文,low,,,24,1
3,天文,low,,,33,1
4,天文,low,,,18,1
32,天文,low,,,5,1
33,天文,low,,,6,1
34,天文,low,,,2,1
35,天文,low,,,4,1
36,天文,low,,,3,1
37,天文,low,,,3,1
38,天文,low,,,26,1
39,天文,low,,,56,1
40,天文,low,,,51,1
41,天文,low,,,21,1
42,天文,low,,,8,1
43,天文,low,,,8,1
44,天文,low,,,23,1
45,天文,low,,,19,1
46,天文,low,,,24,1
47,天文,low,,,33,1
48,天文,low,,,69,1
49,天文,low,,,13,1
50,天文,low,,,22,1
51,天文,low,,,87,1
52,天文,low,,,7,1
53,天文,low,,,5,1
54,天文,low,,,41,1
55,天文,low,,,41,1
56,天文,low,,,38,1
57,天文,low,,,80,1
58,天文,low,,,18,1
59,天文,low,,,20,1
60,天文,low,,,3,1
61,天文,low,,,58,1
62,天文,low,,,55,1
63,天文,low,,,41,1
64,天文,low,,,53,1
65,天文,low,,,101,1
66,天文,low,,,91,1
67,天文,low,,,33,1
68,天文,low,,,43,1
69,天文,low,,,61,1
70,天文,low,,,22,1
71,天文,low,,,12,1
1,天文,low,,,62,1
2,天文,low,,,42,1
3,天文,low,,,48,1
4,天文,low,,,35,1
5,天文,low,,,60,1
1,天文,low,,,23,1
2,天文,low,,,49,1
3,天文,low,,,42,1
4,天文,low,,,23,1
5,天文,low,,,21,1
6,天文,low,,,10,1
7,天文,low,,,48,1
8,天文,low,,,32,1
9,天文,low,,,17,1
86,天文,low,,,3,1
87,天文,low,,,4,1
88,天文,low,,,3,1
89,天文,low,,,2,1
90,天文,low,,,2,1
91,天文,low,,,2,1
92,天文,low,,,0,1
93,天文,low,,,121,1
94,天文,low,,,35,1
95,天文,low,,,62,1
96,天文,low,,,15,1
97,天文,low,,,42,1
98,天文,low,,,51,1
99,天文,low,,,63,1
100,天文,low,,,47,1
101,天文,low,,,13,1
102,天文,low,,,13,1
103,天文,low,,,8,1
104,天文,low,,,14,1
105,天文,low,,,8,1
106,天文,low,,,7,1
107,天文,low,,,11,1
108,天文,low,,,44,1
109,天文,low,,,19,1
110,天文,low,,,9,1
111,天文,low,,,57,1
[mi³³ei⁵⁵dʑi³¹tɯ³¹],天文类,low,,,24,1
